职位名,链接,公司,工作地点,薪资,经验,学历
数据分析师 ,https://www.zhipin.com/job_detail/1413092058.html,升学教育,深圳,5K-6K,经验不限,大专
助理数据分析师 ,https://www.zhipin.com/job_detail/1413389848.html,航海图,北京,5K-6K,经验不限,本科
资深数据分析师 ,https://www.zhipin.com/job_detail/1413084905.html,唯品会,广州,10K-20K,5-10年,本科
金融数据分析 ,https://www.zhipin.com/job_detail/1413359115.html,国家金融信息中心,北京,10K-20K,经验不限,本科
数据分析经理 ,https://www.zhipin.com/job_detail/1413244746.html,西贝莜面村,北京,12K-24K,3-5年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413414283.html,掌众金融,北京,10K-20K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413171350.html,博彦,上海,8K-14K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413172922.html,北京你我一起科技公司,北京,10K-20K,1-3年,本科
运营专员-数据分析 ,https://www.zhipin.com/job_detail/1413312171.html,软通动力集团,芜湖,6K-10K,1-3年,本科
数据分析工程师 ,https://www.zhipin.com/job_detail/1413131847.html,百度,北京,15K-30K,1-3年,本科
数据分析专员（外派滴滴） ,https://www.zhipin.com/job_detail/1413221261.html,软通动力,北京,6K-10K,1-3年,本科
商业数据分析 ,https://www.zhipin.com/job_detail/1413282593.html,天津格朗合,天津,3K-6K,1年以内,大专
数据分析工程师 ,https://www.zhipin.com/job_detail/1413242217.html,算话征信,上海,15K-30K,3-5年,本科
数据分析专家 ,https://www.zhipin.com/job_detail/1413039103.html,阿里巴巴集团,杭州,45K-70K,5-10年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413190790.html,新美大,上海,18K-36K,5-10年,本科
商业数据分析 ,https://www.zhipin.com/job_detail/1413354233.html,哔卟科技,北京,4K-5K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413303490.html,银客集团,北京,15K-25K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413386432.html,百度外卖,北京,10K-20K,1-3年,本科
商业数据分析 ,https://www.zhipin.com/job_detail/1413376629.html,海南遇众不同,三亚,10K-16K,1-3年,本科
网易游戏数据分析师 ,https://www.zhipin.com/job_detail/1413389129.html,中软国际,杭州,8K-12K,1-3年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413174475.html,苏州汇川,上海,20K-35K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413092086.html,新榜,北京,6K-10K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413284044.html,广州千千氏,广州,8K-10K,1-3年,本科
实习数据分析师 ,https://www.zhipin.com/job_detail/1413346482.html,恒升科创,北京,3K-5K,经验不限,本科
Hadoop数据分析师 ,https://www.zhipin.com/job_detail/1413210984.html,晶赞科技,上海,20K-30K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413325541.html,极欧,北京,15K-30K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1412904824.html,阿里巴巴集团,杭州,10K-20K,3-5年,本科
资深数据分析师 ,https://www.zhipin.com/job_detail/1413234472.html,一点资讯,北京,25K-50K,5-10年,本科
数据分析师（数据产品）经理 ,https://www.zhipin.com/job_detail/1413316654.html,百度,北京,25K-35K,3-5年,本科
数据分析专员 ,https://www.zhipin.com/job_detail/1413193847.html,怪兽充电,上海,6K-8K,1-3年,大专
数据分析高级经理 ,https://www.zhipin.com/job_detail/1413161238.html,百度,北京,30K-50K,5-10年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413180025.html,屹石资产,北京,10K-15K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413164640.html,数能科技,天津,6K-12K,3-5年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413350412.html,滴滴出行,北京,25K-45K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1412972874.html,正泰电器,杭州,8K-15K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413228481.html,南京智精灵,北京,8K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413115760.html,Boss直聘,北京,15K-25K,1-3年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413115724.html,Boss直聘,北京,30K-40K,1-3年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1412995771.html,百度湖北营销服务中心,武汉,6K-8K,经验不限,硕士
数据分析师（可接受实习或应届生） ,https://www.zhipin.com/job_detail/1413389837.html,觅思,苏州,3K-4K,应届生,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413150914.html,链家网,北京,10K-20K,1-3年,硕士
电商运营助理（数据分析实习生） ,https://www.zhipin.com/job_detail/1413412156.html,蓝月亮(中国)有限公司,广州,2K-3K,经验不限,本科
资深数据分析师 ,https://www.zhipin.com/job_detail/1413159356.html,hellobike,上海,20K-40K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413033095.html,微盟,上海,10K-15K,1-3年,本科
业务数据分析师 ,https://www.zhipin.com/job_detail/1413368975.html,恒信永利金融,深圳,6K-8K,1-3年,大专
业务数据分析 ,https://www.zhipin.com/job_detail/1412859457.html,易果生鲜,上海,6K-8K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413082208.html,合肥李山投资,合肥,10K-15K,3-5年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413327711.html,佰聆数据,南京,8K-16K,1-3年,本科
数据分析主管 ,https://www.zhipin.com/job_detail/1413209457.html,杭州卓益科技,杭州,10K-15K,1-3年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413239496.html,北京新东方,北京,4K-6K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1412982094.html,饿了么,上海,15K-30K,3-5年,本科
数据分析师（游戏） ,https://www.zhipin.com/job_detail/1413268934.html,完美世界,北京,10K-15K,1-3年,本科
数据分析（BI） ,https://www.zhipin.com/job_detail/1413083485.html,鸿程系统,杭州,10K-12K,1-3年,本科
全球宏观行业数据分析师 ,https://www.zhipin.com/job_detail/1413297730.html,南京万得,南京,3K-6K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413290800.html,购搭APP,北京,10K-15K,1-3年,本科
高级数据分析 ,https://www.zhipin.com/job_detail/1413293882.html,蓝色光标,北京,15K-25K,5-10年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413135378.html,上海燕致网络科技,上海,12K-24K,3-5年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413122302.html,思高乐教育,北京,10K-15K,1-3年,硕士
数据分析师/数据运营 ,https://www.zhipin.com/job_detail/1413097750.html,同程金服,上海,10K-20K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413187792.html,小牛在线,深圳,30K-50K,5-10年,本科
数据分析主管 ,https://www.zhipin.com/job_detail/1412981555.html,爱卡汽车,北京,13K-25K,3-5年,本科
物流数据分析专员 ,https://www.zhipin.com/job_detail/1413021851.html,北方大陆产业集团,北京,6K-8K,经验不限,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413091247.html,微拍堂,杭州,10K-20K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413207737.html,奥维云网,郑州,2K-4K,1-3年,大专
商业数据分析 ,https://www.zhipin.com/job_detail/1413246091.html,凤凰金融,北京,15K-25K,3-5年,本科
