,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
716,数据分析师,http://jobs.51job.com/guangzhou-pyq/74306634.html?s=01&t=0,广州瓷妆化妆品有限公司,广州-番禺区,0.5-1万/月,2年经验,大专,广州,7500.0
717,数据分析师,http://jobs.51job.com/wuhan-wcq/91283344.html?s=01&t=0,零壹智库信息科技（北京）有限公司,武汉-武昌区,5-7千/月,1年经验,本科,武汉,6000.0
718,数据分析师,http://jobs.51job.com/hefei/92159348.html?s=01&t=0,Calvin Klein Jeans,合肥,3-4.5千/月,,,合肥,3750.0
719,数据分析师,http://jobs.51job.com/shenzhen-nsq/90481755.html?s=01&t=0,深圳前海联易融金融服务有限公司,深圳-南山区,1.5-2万/月,,硕士,深圳,17500.0
720,4G网络数据分析实习生（大数据方向）,http://jobs.51job.com/wuhan-hsq/92337331.html?s=01&t=0,北京优伯立信科技发展有限公司,武汉-洪山区,4-5.5千/月,无工作经验,高中,武汉,4750.0
721,数据分析师（运营/推广方向）,http://jobs.51job.com/qingyuan/90624020.html?s=01&t=0,爱婴坊（香港）有限公司,清远,3-4.5千/月,,,清远,3750.0
722,大数据分析师,http://jobs.51job.com/shanghai-xhq/85537973.html?s=01&t=0,上海贝格计算机数据服务有限公司,上海-徐汇区,1.5-2万/月,,本科,上海,17500.0
723,网络数据分析专员（双休五险）,http://jobs.51job.com/chongqing-spbq/91889713.html?s=01&t=0,重庆鑫锐恒网络科技有限公司,重庆-沙坪坝区,4.5-6千/月,无工作经验,大专,重庆,5250.0
724,数据分析实习生,http://jobs.51job.com/kunming/87709365.html?s=01&t=0,云南明略企业管理有限公司,昆明,120元/天,无工作经验,本科,昆明,2610.0
725,销售财务数据分析专员,http://jobs.51job.com/shanghai-pdxq/92218362.html?s=01&t=0,千野人才（chino）,上海-浦东新区,0.8-1万/月,,本科,上海,9000.0
726,数据分析师,http://jobs.51job.com/guangzhou-thq/89775376.html?s=01&t=0,广州青蜂信息科技有限公司,广州-天河区,0.6-1.5万/月,,,广州,10500.0
727,数据分析专员,http://jobs.51job.com/guangzhou-byq/90895402.html?s=01&t=0,UR 快尚时装有限公司,广州-白云区,4.5-6千/月,2年经验,,广州,5250.0
728,Business Analyst/数据分析,http://lifungsh.51job.com/sc/show_job_detail.php?jobid=86985439,利丰供应链管理（中国）有限公司,上海-闵行区,1-1.5万/月,,,上海,12500.0
729,游戏数据分析平台开发工程师,http://jobs.51job.com/wuhan-jxq/84434492.html?s=01&t=0,趣米（武汉）科技有限公司,武汉-江夏区,1-2万/月,2年经验,本科,武汉,15000.0
730,高级市场活动分析员 (数据分析岗),http://jobs.51job.com/guangzhou-thq/89147395.html?s=01&t=0,合生元集团—广州总部,广州-天河区,10-15万/年,3-4年经验,本科,广州,10417.0
731,金融数据分析师,http://jobs.51job.com/beijing-dcq/92056046.html?s=01&t=0,北京万向通汇投资有限公司,北京-东城区,0.6-1.5万/月,1年经验,本科,北京,10500.0
732,数据分析/数据管理,http://jobs.51job.com/beijing/91098701.html?s=01&t=0,北京鼎泰智源科技有限公司,北京,0.8-1万/月,2年经验,,北京,9000.0
733,数据分析师,http://jobs.51job.com/guangzhou/89202708.html?s=01&t=0,应范科技有限公司,广州,8-10万/年,,,广州,7500.0
734,数据分析师,http://jobs.51job.com/shanghai-lwq/90027523.html?s=01&t=0,上海埃帕信息科技有限公司,上海-卢湾区,0.9-1.4万/月,3-4年经验,本科,上海,11500.0
735,实习生-Java/Web/大数据分析,http://jobs.51job.com/wuxi/90443739.html?s=01&t=0,无锡晔讯英智科技有限公司,无锡,4-6千/月,无工作经验,大专,无锡,5000.0
736,数据分析师,http://jobs.51job.com/foshan/84439058.html?s=01&t=0,广东金赋科技股份有限公司,佛山,0.8-1.1万/月,1年经验,硕士,佛山,9500.0
737,数据分析师,http://jobs.51job.com/suzhou-gyyq/90160585.html?s=01&t=0,优必得石油设备（苏州）有限公司,苏州-工业园区,8-10万/年,,本科,苏州,7500.0
738,数据分析师,http://jobs.51job.com/tianjin/87104567.html?s=01&t=0,吉比艾（天津）软件研发有限公司,天津,4-5千/月,2年经验,本科,天津,4500.0
739,系统数据分析专员,http://jobs.51job.com/guangzhou-hzq/78680697.html?s=01&t=0,广东润杨通信服务有限公司,广州-海珠区,6-8千/月,,本科,广州,7000.0
740,数据分析师+双休五险一金,http://jobs.51job.com/shenzhen-ftq/92035739.html?s=01&t=0,深圳投哪金融服务有限公司,深圳-福田区,1-2万/月,2年经验,硕士,深圳,15000.0
741,高薪聘淘宝数据分析助理（交五险）,http://jobs.51job.com/jingjiang/85415911.html?s=01&t=0,南京持变电子商务有限责任公司,靖江,3-5千/月,,大专,靖江,4000.0
742,数据分析师（麦芽数据）,http://jobs.51job.com/nanjing-jyq/81715441.html?s=01&t=0,江苏中地控股集团有限公司,南京-建邺区,1-1.5万/月,,大专,南京,12500.0
743,经营数据分析员,http://jobs.51job.com/guangzhou/90759165.html?s=01&t=0,汇桔网,广州,0.8-1万/月,2年经验,本科,广州,9000.0
744,夹具数据分析,http://jobs.51job.com/shanghai/86464209.html?s=01&t=0,查胜（上海）电子科技有限公司,上海,6-8千/月,3-4年经验,大专,上海,7000.0
745,数据分析专员,http://jobs.51job.com/nanjing-qhq/87436324.html?s=01&t=0,金红叶纸业集团有限公司,南京-秦淮区,,2年经验,大专,南京,
746,女装产品数据分析,http://jobs.51job.com/guangzhou/89933398.html?s=01&t=0,南京领添信息技术有限公司广州分公司,广州,0.7-1万/月,,大专,广州,8500.0
747,数据分析专员（双休）,http://jobs.51job.com/changsha-frq/87015584.html?s=01&t=0,广州优棠科技有限公司,长沙-芙蓉区,3.5-4千/月,,大专,长沙,3750.0
748,数据分析师,http://jobs.51job.com/shenzhen-ftq/89779892.html?s=01&t=0,广东管车所资产管理有限公司,深圳-福田区,4-5千/月,1年经验,本科,深圳,4500.0
749,高级数据分析（商品/营销）,http://jobs.51job.com/hangzhou-yhq/87750226.html?s=01&t=0,浙江娜利服饰有限公司,杭州-余杭区,6-8千/月,3-4年经验,大专,杭州,7000.0
750,推广与数据分析经理,http://jobs.51job.com/guangzhou/91188578.html?s=01&t=0,青木数字技术股份有限公司,广州,1-1.5万/月,,,广州,12500.0
751,数据分析岗（平安正编/双休/五险二金）,http://jobs.51job.com/changsha/85131357.html?s=01&t=0,平安普惠企业管理有限公司湖南分公司,长沙,6-8千/月,2年经验,本科,长沙,7000.0
752,数据分析员,http://jobs.51job.com/nanjing/89956174.html?s=01&t=0,南京谦阳投资咨询有限公司,南京,4-6千/月,无工作经验,本科,南京,5000.0
753,高薪诚聘商品数据分析员,http://jobs.51job.com/nanchang/80629855.html?s=01&t=0,南昌泰长盛实业有限公司,南昌,4.5-6千/月,2年经验,中专,南昌,5250.0
754,商品数据分析专员,http://jobs.51job.com/guangzhou-byq/64195728.html?s=01&t=0,广州威曼服饰有限公司,广州-白云区,6-8千/月,1年经验,中专,广州,7000.0
755,销售总监助理（报表数据分析）,http://jobs.51job.com/suzhou-gyyq/92384392.html?s=01&t=0,泰诺风保泰（苏州）隔热材料有限公司,苏州-工业园区,3.5-5千/月,1年经验,本科,苏州,4250.0
756,高级数据分析师(阿基米德),http://jobs.51job.com/shanghai/86648327.html?s=01&t=0,上海东方广播有限公司,上海,,3-4年经验,硕士,上海,
757,数据分析专员,http://jobs.51job.com/qingdao/92027835.html?s=01&t=0,青岛开心财富经济信息咨询有限公司,青岛,3.5-4.5千/月,1年经验,,青岛,4000.0
758,数据分析专员,http://jobs.51job.com/shanghai/91896628.html?s=01&t=0,上海鸣杨体育用品有限公司,上海,4.5-6.5千/月,1年经验,大专,上海,5500.0
759,互联网数据分析师 （Digital Data Analyst）,http://jobs.51job.com/shanghai-pdxq/58696316.html?s=01&t=0,上海讯实网络科技有限公司,上海-浦东新区,6-8千/月,2年经验,本科,上海,7000.0
760,服装/库存管理员/数据分析专员,http://jobs.51job.com/shanghai-pdxq/92391744.html?s=01&t=0,上海俊懿网络科技有限公司,上海-浦东新区,4.5-6千/月,1年经验,大专,上海,5250.0
761,数据分析,http://jobs.51job.com/shanghai-cnq/82394389.html?s=01&t=0,上海坤睿企业管理咨询有限公司,上海-长宁区,0.4-1万/月,1年经验,本科,上海,7000.0
762,资深数据分析专员-58集团j,http://jobs.51job.com/shanghai-xhq/86342197.html?s=01&t=0,瑞庭网络技术（上海）有限公司,上海-徐汇区,6-8千/月,,本科,上海,7000.0
763,数据分析专员Data Analysis Clerk,http://jobs.51job.com/jinan-gxq/91337819.html?s=01&t=0,上海促联信息技术有限公司,济南-高新区,3-5千/月,,大专,济南,4000.0
764,财务数据分析,http://jobs.51job.com/shanghai-mhq/79638433.html?s=01&t=0,Mothercare 好孩子好妈咪零售有限公司,上海-闵行区,1-1.5万/月,,,上海,12500.0
765,数据分析专员,http://jobs.51job.com/jiaxing/49111448.html?s=01&t=0,浙江房超信息科技有限公司,嘉兴,5-6万/年,1年经验,大专,嘉兴,4583.0
766,互联网事业部-数据分析岗,http://jobs.51job.com/beijing-cyq/79785037.html?s=01&t=0,大童保险销售服务有限公司,北京-朝阳区,6-8千/月,2年经验,本科,北京,7000.0
767,数据分析师,http://jobs.51job.com/shanghai-pdxq/91125510.html?s=01&t=0,固金所金融服务（深圳）有限公司,上海-浦东新区,1-1.5万/月,3-4年经验,本科,上海,12500.0
768,数据分析师,http://jobs.51job.com/beijing-hdq/90147935.html?s=01&t=0,北京中兴通软件科技股份有限公司,北京-海淀区,1-2.5万/月,3-4年经验,本科,北京,17500.0
769,数据分析员,http://jobs.51job.com/hangzhou/89320934.html?s=01&t=0,伊芙丽-杭州意丰歌服饰有限公司,杭州,3-4.5千/月,,,杭州,3750.0
770,数据分析员,http://jobs.51job.com/shenzhen/92541199.html?s=01&t=0,广州广电银通金融电子科技有限公司,深圳,3.5-4.5千/月,,大专,深圳,4000.0
771,软件开发/编程/数据分析,http://jobs.51job.com/jinan/92541314.html?s=01&t=0,山东昆盈信息咨询有限公司,济南,0.8-1万/月,,,济南,9000.0
772,数据分析,http://jobs.51job.com/shanghai-ptq/84370218.html?s=01&t=0,水世界（上海）网络科技有限公司,上海-普陀区,1-1.5万/月,2年经验,大专,上海,12500.0
773,数据分析,http://jobs.51job.com/shanghai-xhq/71452970.html?s=01&t=0,上海库智信息科技有限公司,上海-徐汇区,6-8千/月,1年经验,,上海,7000.0
774,数据分析师,http://jobs.51job.com/guangzhou-thq/87157715.html?s=01&t=0,广州银行信用卡中心,广州-天河区,15-30万/年,1年经验,本科,广州,18750.0
775,信息安全大数据分析,http://jobs.51job.com/beijing-hdq/91409996.html?s=01&t=0,中国信息通信研究院,北京-海淀区,1.5-2万/月,,硕士,北京,17500.0
776,企管专员/经营企划/经营数据分析,http://jobs.51job.com/chengdu-lqyq/92081102.html?s=01&t=0,成都天兴山田车用部品有限公司,成都-龙泉驿区,5-6千/月,2年经验,本科,成都,5500.0
777,数据分析师（互联网相关）,http://jobs.51job.com/lanzhou/88722074.html?s=01&t=0,甘肃扬帆起航企业管理咨询有限公司,兰州,2.5-5千/月,,,兰州,3750.0
778,数据分析师,http://jobs.51job.com/changsha-yhq/91795292.html?s=01&t=0,北京卓信智恒数据科技股份有限公司,长沙-雨花区,0.9-1.2万/月,1年经验,本科,长沙,10500.0
779,数据分析员/销售助理,http://jobs.51job.com/xian/84528903.html?s=01&t=0,陕西普禾医药有限公司,西安,6-8千/月,2年经验,本科,西安,7000.0
780,数据分析员,http://jobs.51job.com/shenzhen-lhxq/92202992.html?s=01&t=0,深圳银盛金融集团有限公司,深圳-龙华新区,0.5-1万/月,2年经验,本科,深圳,7500.0
781,商控部数据分析员,http://jobs.51job.com/ningbo-blq/87812077.html?s=01&t=0,宁波科西嘉服饰有限公司,宁波-北仑区,3-4.5千/月,,,宁波,3750.0
782,大数据分析师,http://jobs.51job.com/fuzhou/90686205.html?s=01&t=0,福州福大经纬信息科技有限公司,福州,1-2万/月,,本科,福州,15000.0
783,弹性工作+提成5k起聘金融股票 外汇交易员/数据分析师,http://jobs.51job.com/xian/90005761.html?s=01&t=0,弈汇（深圳）资产管理有限公司,西安,6-8千/月,,中专,西安,7000.0
784,java/Web/大数据分析-实习生五险一金+住宿,http://jobs.51job.com/wuhan-hsq/92331503.html?s=01&t=0,上海海文信息技术有限公司武汉分公司,武汉-洪山区,4.5-6千/月,,高中,武汉,5250.0
785,数据分析专员（上海）,http://jobs.51job.com/shanghai/90642591.html?s=01&t=0,天津狮桥国际物流有限公司,上海,3.5-5.5千/月,,大专,上海,4500.0
786,产品运营/数据分析,http://jobs.51job.com/shanghai/76423538.html?s=01&t=0,上海二三四五网络科技有限公司,上海,0.8-1.2万/月,2年经验,本科,上海,10000.0
787,网络推广专员/钻展/直通车/数据分析,http://jobs.51job.com/nanjing-bxq/62288373.html?s=01&t=0,南京方橙吾语商贸有限公司,南京-白下区,3-4.5千/月,1年经验,本科,南京,3750.0
788,数据分析师底薪4K无需坐班五险双休,http://jobs.51job.com/shenyang-shq/92058579.html?s=01&t=0,辽宁宬泰益汇投资管理有限公司,沈阳-沈河区,4.5-6千/月,,,沈阳,5250.0
789,互联功能大数据分析工程师-上海,http://jobs.51job.com/shanghai-pdxq/92533736.html?s=01&t=0,上汽通用汽车有限公司,上海-浦东新区,1.5-2万/月,,,上海,17500.0
790,数据分析师 应届生亦可170806,http://jobs.51job.com/shanghai/92534709.html?s=01&t=0,上海海同优才教育培训有限责任公司,上海,6-8千/月,,,上海,7000.0
791,5k起聘周末双休朝九晚五金融数据分析师外汇交易员,http://jobs.51job.com/xian/92107861.html?s=01&t=0,西安信安汇商务咨询有限公司,西安,6-8千/月,无工作经验,,西安,7000.0
792,5k起聘金融股票操盘手/数据分析师/外汇交易员/风控岗,http://jobs.51job.com/xian/90895458.html?s=01&t=0,西安道汇创金商务咨询有限公司,西安,6-8千/月,,,西安,7000.0
793,数据分析师,http://jobs.51job.com/chongqing-ybq/92309164.html?s=01&t=0,瀚华金控股份有限公司,重庆-渝北区,0.8-1.2万/月,2年经验,本科,重庆,10000.0
794,高薪诚聘数据分析师+周末双休+五险一金,http://jobs.51job.com/beijing-cyq/92531721.html?s=01&t=0,华壹信融投资管理（北京）有限责任公司,北京-朝阳区,0.6-1万/月,无工作经验,本科,北京,8000.0
795,数据分析师,http://jobs.51job.com/shanghai/92284180.html?s=01&t=0,汉邦软科集团,上海,0.5-1.5万/月,2年经验,本科,上海,10000.0
796,java/Web/大数据分析-实习生五险一金+住宿,http://jobs.51job.com/wuhan-hsq/92119249.html?s=01&t=0,武汉海文赢通信息技术有限公司,武汉-洪山区,4.5-6千/月,,大专,武汉,5250.0
797,月薪10000起上不封顶数据分析/运营管理公司的领航水手,http://jobs.51job.com/beijing-cyq/90554374.html?s=01&t=0,北京丽兹行房地产顾问有限公司-BJ12,北京-朝阳区,15-20万/年,1年经验,,北京,14583.0
798,数据分析工程师（河源岗）,http://jobs.51job.com/heyuan/92537229.html?s=01&t=0,广东精点数据科技股份有限公司,河源,3-6千/月,1年经验,本科,河源,4500.0
799,爬虫工程师/数据分析师/信息专员,http://jobs.51job.com/nantong/92534837.html?s=01&t=0,南通河狸机械科技有限公司,南通,4.5-6千/月,,本科,南通,5250.0
800,（非销售岗位）数据分析师（互联网金融）,http://jobs.51job.com/guangzhou/92529144.html?s=01&t=0,广州和晟实业投资有限公司,广州,1-1.5万/月,,,广州,12500.0
801,BI分析师助理/数据分析师助理,http://jobs.51job.com/hangzhou/92454562.html?s=01&t=0,西数（北京）电子商务有限公司,杭州,4.5-6千/月,,大专,杭州,5250.0
802,电商数据分析员助理/储备生,http://jobs.51job.com/shanghai/92435054.html?s=01&t=0,崇盈(上海)信息技术有限公司,上海,4.5-6千/月,,大专,上海,5250.0
803,数据分析专员,http://jobs.51job.com/hefei/92428370.html?s=01&t=0,水孕新生科技有限公司,合肥,5-6万/年,1年经验,大专,合肥,4583.0
804,链家研究院 数据分析 师,http://jobs.51job.com/nanjing-glq/92413905.html?s=01&t=0,南京链家房地产经纪有限公司,南京-鼓楼区,0.5-1万/月,1年经验,硕士,南京,7500.0
805,BI分析师助理/数据分析师助理,http://jobs.51job.com/hangzhou/92396476.html?s=01&t=0,杭州西线教育科技有限公司,杭州,4.5-6千/月,,大专,杭州,5250.0
806,诚招 信息管理员（电商数据分析方向）,http://jobs.51job.com/shenzhen/92394819.html?s=01&t=0,深圳市全渠道信息技术有限公司,深圳,4.5-6千/月,,,深圳,5250.0
807,信息管理员（电商数据分析方向）,http://jobs.51job.com/shanghai/92381902.html?s=01&t=0,余维（上海）科技有限公司,上海,4.5-6千/月,,,上海,5250.0
808,数据分析员,http://jobs.51job.com/wuhan-jaq/92371078.html?s=01&t=0,武汉中小企业服务有限责任公司,武汉-江岸区,3-4.5千/月,1年经验,大专,武汉,3750.0
809,数据分析\数据统计\数据处理,http://jobs.51job.com/shenzhen/92288746.html?s=01&t=0,沃丁信息技术（深圳）有限公司,深圳,5-6千/月,,大专,深圳,5500.0
810,电商数据分析员助理/储备生,http://jobs.51job.com/shanghai/92287875.html?s=01&t=0,上海默哲实业有限公司,上海,4.5-6千/月,,大专,上海,5250.0
811,商业数据分析师/初级商业分析员/商业分析师,http://jobs.51job.com/shanghai/92286493.html?s=01&t=0,上海挚品互联网科技有限公司,上海,4.5-6千/月,,大专,上海,5250.0
